,ASN,CustomerName,CustomerNumber,CustomerSpecific,CustomerType,Ip Address,Number of IpAddress,Order Number,Product Type,ProductClass,RD,RT EXPORT,RT IMPORT,Remark,Sequence Number,ShipToAddress,Status,Subnet Mask,Subnet Type,VRF Name,missingReason,normalizedAccountJoinKey,normalizedServiceJoinKey
,0,ARAB COMMERCIAL ENTERPRISES LTD,5721,,CORP,5.42.236.220,4,1000010112014,BDI,BDI(1:1),,,,,37,Ø®Ø±ÙŠØµ,Reserved,255.255.255.252,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112014 and CustomerNumber->ACCOUNT_NUMBER=5721.,5721,1000010112014
,0,ARAB COMMERCIAL ENTERPRISES LTD,5721,,CORP,87.101.181.156,4,1000010112035,BDI,BDI(1:1),,,,,7,Ø·Ø±ÙŠÙ‚ Ø§Ù„ÙƒÙˆØ±Ù†ÙŠØ´,Reserved,255.255.255.252,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112035 and CustomerNumber->ACCOUNT_NUMBER=5721.,5721,1000010112035
,0,One click,10007745,,CORP,5.42.232.48,8,1000010112116,BDI,BDI(1:1),,,,,33,Ø§Ù„Ù…Ù„Ùƒ ÙÙ‡Ø¯,Reserved,255.255.255.248,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112116 and CustomerNumber->ACCOUNT_NUMBER=10007745.,10007745,1000010112116
,0,BLAC Black Mac for Team Lab Museum,10005184,,CORP,87.101.181.8,4,1000010112252,BDI,BDI(1:1),,,,,7,Ø­Ù…Ø²Ù‡ Ø´Ø­Ø§ØªÙ‡ØŒ Ø§Ù„Ø¨ØºØ¯Ø§Ø¯ÙŠØ© Ø§Ù„ØºØ±Ø¨ÙŠØ©ØŒ Ø¬Ø¯Ø© 22235,Reserved,255.255.255.252,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112252 and CustomerNumber->ACCOUNT_NUMBER=10005184.,10005184,1000010112252
,0,AlMurjan Rawaq Co. For Hotel Services,10007825,,CORP,87.101.208.8,4,1000010112275,BDI,BDI(1:4),,,,,6,HQ Jeddah,Reserved,255.255.255.252,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112275 and CustomerNumber->ACCOUNT_NUMBER=10007825.,10007825,1000010112275
,0,AlMurjan Rawaq Co. For Hotel Services,10007825,,CORP,87.101.143.16,8,1000010112275,BDI,BDI(1:4),,,,,11,HQ Jeddah,Reserved,255.255.255.248,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112275 and CustomerNumber->ACCOUNT_NUMBER=10007825.,10007825,1000010112275
,0,Schweitzer Engineering Laboratories,38791,,CORP,87.101.208.12,4,1000010112279,BDI,BDI(1:4),,,,,6,King Fahad Road,Reserved,255.255.255.252,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112279 and CustomerNumber->ACCOUNT_NUMBER=38791.,38791,1000010112279
,0,Riyadh International Catering Co,10972801,,CORP,87.101.145.232,8,1000010112302,BDI,BDI(1:4),,,,,45,FAYZIYAH-1830167,Reserved,255.255.255.248,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112302 and CustomerNumber->ACCOUNT_NUMBER=10972801.,10972801,1000010112302
,0,HAYAT ALSAUDIA,10007884,,CORP,87.101.247.0,8,1000010112329,BDI,BDI(1:1),,,,,121,Ø¥Ù†ØªØ±ÙƒÙˆÙ†ØªÙŠÙ†Ù†ØªØ§Ù„,Reserved,255.255.255.248,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112329 and CustomerNumber->ACCOUNT_NUMBER=10007884.,10007884,1000010112329
,0,HAYAT ALSAUDIA,10007884,,CORP,87.101.203.8,4,1000010112329,BDI,BDI(1:1),,,,,102,Ø¥Ù†ØªØ±ÙƒÙˆÙ†ØªÙŠÙ†Ù†ØªØ§Ù„,Reserved,255.255.255.252,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112329 and CustomerNumber->ACCOUNT_NUMBER=10007884.,10007884,1000010112329
,0,Jabal Omar Hyatt Regency,10007785,,CORP,87.101.223.160,8,1000010112331,BDI,BDI(1:4),,,,,59,Jabal Omar Hyatt Regency,Reserved,255.255.255.248,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112331 and CustomerNumber->ACCOUNT_NUMBER=10007785.,10007785,1000010112331
,0,"Oracle Systems Limited, Saudi Arabia",57414,,CORP,87.101.224.56,4,1000010112376,BDI,BDI(1:1),,,,,13,"RDC-102, Remal Rawdhat Dami st, Ar Rimal, Riyadh",Reserved,255.255.255.252,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112376 and CustomerNumber->ACCOUNT_NUMBER=57414.,57414,1000010112376
,0,MEDGULF,12430,,CORP,87.101.154.76,4,1000010112401,BDI,BDI(1:4),,,,,9,Medgulf HQ,Reserved,255.255.255.252,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112401 and CustomerNumber->ACCOUNT_NUMBER=12430.,12430,1000010112401
,0,Al Yusr Industrial Contracting Co.,55511,,CORP,87.101.192.36,4,1000010112406,BDI,BDI(1:1),,,,,103,AYTB CAMP 1,Reserved,255.255.255.252,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112406 and CustomerNumber->ACCOUNT_NUMBER=55511.,55511,1000010112406
,0,Al Yusr Industrial Contracting Co.,55511,,CORP,87.101.192.112,4,1000010112406,BDI,BDI(1:1),,,,,103,AYTB CAMP 1,Reserved,255.255.255.252,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112406 and CustomerNumber->ACCOUNT_NUMBER=55511.,55511,1000010112406
,0,Al Yusr Industrial Contracting Co.,55511,,CORP,87.101.247.128,8,1000010112406,BDI,BDI(1:1),,,,,121,AYTB CAMP 1,Reserved,255.255.255.248,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112406 and CustomerNumber->ACCOUNT_NUMBER=55511.,55511,1000010112406
,0,Al Yusr Industrial Contracting Co.,55511,,CORP,87.101.192.48,8,1000010112408,BDI,BDI(1:1),,,,,103,Yanbu office,Reserved,255.255.255.248,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112408 and CustomerNumber->ACCOUNT_NUMBER=55511.,55511,1000010112408
,0,Al Yusr Industrial Contracting Co.,55511,,CORP,5.42.237.192,4,1000010112408,BDI,BDI(1:1),,,,,38,Yanbu office,Reserved,255.255.255.252,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112408 and CustomerNumber->ACCOUNT_NUMBER=55511.,55511,1000010112408
,0,Al Yusr Industrial Contracting Co.,55511,,CORP,87.101.137.100,4,1000010112410,BDI,BDI(1:1),,,,,3,AYTB Jubail HO,Reserved,255.255.255.252,PTP1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1000010112410 and CustomerNumber->ACCOUNT_NUMBER=55511.,55511,1000010112410
